Category: All categories

Week,"Udemy, Inc.: (United States)",Udacity: (United States),Pluralsight: (United States),LinkedIn Learning: (United States)
2022-01-30,35,11,24,81
2022-02-06,41,11,24,80
2022-02-13,44,14,21,69
2022-02-20,44,11,20,70
2022-02-27,33,10,24,71
2022-03-06,40,14,27,65
2022-03-13,41,8,21,67
2022-03-20,43,11,20,71
2022-03-27,41,13,23,71
2022-04-03,41,10,21,71
2022-04-10,38,11,21,67
2022-04-17,39,10,23,68
2022-04-24,40,12,22,73
2022-05-01,36,10,25,70
2022-05-08,34,11,27,73
2022-05-15,38,11,22,73
2022-05-22,46,11,23,65
2022-05-29,45,11,18,68
2022-06-05,44,11,24,72
2022-06-12,40,12,22,74
2022-06-19,41,9,25,76
2022-06-26,49,11,23,76
2022-07-03,42,12,22,67
2022-07-10,46,12,23,73
2022-07-17,44,12,19,75
2022-07-24,52,13,20,74
2022-07-31,47,13,18,74
2022-08-07,52,10,21,68
2022-08-14,64,9,22,73
2022-08-21,45,11,25,73
2022-08-28,40,10,23,72
2022-09-04,42,12,19,70
2022-09-11,40,9,22,70
2022-09-18,44,11,24,71
2022-09-25,39,9,20,67
2022-10-02,35,10,19,67
2022-10-09,34,10,21,69
2022-10-16,38,10,24,65
2022-10-23,33,8,19,69
2022-10-30,29,10,22,69
2022-11-06,29,8,20,66
2022-11-13,37,7,21,88
2022-11-20,42,7,17,51
2022-11-27,41,10,19,80
2022-12-04,33,9,17,83
2022-12-11,45,10,27,81
2022-12-18,40,8,19,64
2022-12-25,37,8,16,51
2023-01-01,34,9,17,68
2023-01-08,34,9,24,80
2023-01-15,33,9,16,74
